Id	Lat	Long	Nombre
1	-34.5422821	-58.44169	Matil
2	-34.5426627	-58.4407073	Rotonda
3	-34.5427364	-58.4380224	Garita
4	-34.5442835	-58.4392351	Puerta Pab 1
5	-34.5449416	-58.4409339	Iafe
6	-34.5449416	-58.4409339	Entrada CU
7	-34.5416461	-58.4431779	Domo 
8	-34.5416304	-58.4410714	Reja reserva
9	-34.5405602	-58.4429657	Arbol esquina
10	-34.5426174	-58.4399938	Bioterio
11	-34.5400766	-58.4437959	Bajada laguna
12	-34.542278	-58.4417829	Matil
13	-34.54291	-58.44252	esquina estacionamiento
14	-34.54156	-58.44326	domo metalico
15	-34.54153	-58.44463	esquina fadu
16	-34.542	-58.44569	puerta deportes
17	-34.54296	-58.44293	parada 107
